92,92,49,59,59,59,59,59,59,59,59,59,59,59,59,91,90,59,59,59,59,59,59,59,59,59,59,59,59,48,44,92
92,44,51,93,93,93,93,93,93,93,93,93,93,93,93,73,72,93,93,93,93,93,93,93,93,93,93,93,93,50,44,92
92,44,51,93,87,62,62,86,93,87,62,62,62,86,93,73,72,93,87,62,62,62,86,93,87,62,62,86,93,50,44,92
92,44,51,95,73,92,92,72,93,73,92,92,92,72,93,73,72,93,73,92,92,92,72,93,73,92,92,72,95,50,44,92
92,44,51,93,75,68,68,74,93,75,68,68,68,74,93,75,74,93,75,68,68,68,74,93,75,68,68,74,93,50,44,92
92,44,51,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,50,44,92
92,44,51,93,87,62,62,86,93,87,86,93,87,62,62,62,62,62,62,86,93,87,86,93,87,62,62,86,93,50,44,92
92,44,51,93,75,68,68,74,93,73,72,93,75,68,68,86,87,68,68,74,93,73,72,93,75,68,68,74,93,50,44,92
92,44,51,93,93,93,93,93,93,73,72,93,93,93,93,73,72,93,93,93,93,73,72,93,93,93,93,93,93,50,44,92
92,44,53,60,60,60,60,86,93,73,84,62,62,86,92,73,72,92,87,62,62,85,72,93,71,60,60,60,60,52,44,92
92,44,92,92,92,92,92,51,93,73,82,68,68,74,92,75,74,92,75,68,68,83,72,93,50,92,92,92,92,92,44,92
92,44,92,92,92,92,92,51,93,73,72,92,92,92,92,92,92,92,92,92,92,73,72,93,50,92,92,92,92,92,44,92
92,44,92,92,92,92,92,51,93,73,72,92,77,61,81,108,108,80,61,76,92,73,72,93,50,92,92,92,92,92,44,92
49,58,58,58,58,58,58,74,93,75,74,92,50,92,92,92,92,92,92,51,92,75,74,93,75,58,58,58,58,58,58,48
51,92,92,92,92,92,92,92,93,92,92,92,50,92,92,92,92,92,92,51,92,92,92,93,92,92,92,92,92,92,92,50
53,60,60,60,60,60,60,86,93,87,86,92,50,92,92,92,92,92,92,51,92,87,86,93,71,60,60,60,60,60,60,52
92,44,92,92,92,92,92,51,93,73,72,92,79,58,58,58,58,58,58,78,92,73,72,93,50,92,92,92,92,92,44,92
92,44,92,92,92,92,92,51,93,73,72,92,92,92,92,92,92,92,92,92,92,73,72,93,50,92,92,92,92,92,44,92
92,44,92,92,92,92,92,51,93,73,72,92,87,62,62,62,62,62,62,86,92,73,72,93,50,92,92,92,92,92,44,92
92,44,49,58,58,58,58,74,93,75,74,92,75,68,68,86,87,68,68,74,92,75,74,93,75,58,58,58,58,48,44,92
92,44,51,93,93,93,93,93,93,93,93,93,93,93,93,73,72,93,93,93,93,93,93,93,93,93,93,93,93,50,44,92
92,44,51,93,87,62,62,86,93,87,62,62,62,86,93,73,72,93,87,62,62,62,86,93,87,62,62,86,93,50,44,92
92,44,51,93,75,68,83,72,93,75,68,68,68,74,93,75,74,93,75,68,68,68,74,93,73,87,68,74,93,50,44,92
92,44,51,95,93,93,73,72,93,93,93,93,93,93,93,92,92,93,93,93,93,93,93,93,73,72,93,93,95,50,44,92
92,44,55,62,86,93,73,72,93,87,86,93,87,62,62,62,62,62,62,86,93,87,86,93,73,72,93,87,62,54,44,92
92,44,57,68,74,93,75,74,93,73,72,93,75,68,68,83,87,68,68,74,93,73,72,93,75,74,93,75,68,56,44,92
92,44,51,93,93,93,93,93,93,73,72,93,93,93,93,73,72,93,93,93,93,73,72,93,93,93,93,93,93,50,44,92
92,44,51,93,87,62,62,62,62,74,84,62,62,86,93,73,72,93,87,62,62,85,84,62,62,62,62,86,93,50,44,92
92,44,51,93,75,68,68,68,68,68,68,68,68,74,93,75,74,93,75,68,68,68,68,68,68,68,68,74,93,50,44,92
92,44,51,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,50,44,92
92,44,53,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,52,44,92
